zinc_id,smiles
ZINC000049888739,CCCCCC(=O)c1c(O)c2c(c3c1O[C@@]1(O)[C@H]([C@@H]3C(C)C)[C@@H](O)C(C)(C)C(=O)C1(C)C)OC1=C(C(=O)C(C)(C)C(=O)C1(C)C)[C@@H]2C(C)C
ZINC000008214383,NC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O1
ZINC000150377766,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCCC)OCCCCCCCCCCCCCCCCCC
ZINC000028541771,C=C1CC/C=C(\C)CC[C@@H](C(C)C)C(=O)C1
ZINC000036421972,O=C1CCc2ccc(O)c(c2)Oc2ccc(cc2)CCCO1
ZINC000001699959,COC(=O)CCCCC(=O)O
ZINC000038992206,COc1cccc2c(-c3ccc4c(c3OC(C)=O)[C@@H](C)N(C=O)[C@H](C)C4)c(C)cc(OC)c12
ZINC000100044499,O=C1CN2CCO[C@]2(c2ccccc2F)c2cc(Cl)ccc2N1CCO
ZINC000019701999,Clc1ccc([C@H](c2ccccc2)N2CCNCC2)cc1
ZINC000150379647,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCC
ZINC000004217258,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4C=C(OC5CCCC5)CC[C@]4(C)[C@H]3CC[C@@]21C
ZINC000013359035,COc1c(-c2c(C)cc(OC)c3c(OC)cccc23)c(O)cc2c1[C@@H](C)N[C@H](C)C2
ZINC000031425359,O=C1NC(=O)[C@@](c2ccccc2)(c2ccc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc2)N1
ZINC000095621108,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC
ZINC000150343906,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO[P@@](=O)(O)O[C@H]1[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](OP(=O)(O)O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCCCCCC
ZINC000095624443,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC
ZINC000095623851,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\CCCC
ZINC000082152698,C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)O)[C@H]1/C=C/c1ccc[n+](CCC(=O)O)c1
ZINC000008220075,Nc1nc(O)c(N)c(N[C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)n1
ZINC000002004617,CCC/C=C/COC(=O)CC
ZINC000040165382,O=c1[nH]c(=S)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1CNCCS(=O)(=O)O
